facility_id,sub_part_id,co2e_emission,gas_id,year
1001286,1,43.25,2,2020
1001286,1,51.554,3,2020
1001286,1,63.75,2,2021
1001286,1,75.99,3,2021
1001286,1,88.0,2,2022
1001286,1,89.5,2,2023
1001286,1,92.0,2,2014
1001286,1,95.25,2,2013
1001286,1,97.0,2,2015
1001286,1,97.25,2,2012
1001286,1,98.75,2,2010
1001286,1,98.75,2,2011
1001286,1,104.896,3,2022
1001286,1,106.684,3,2023
1001286,1,107.0,2,2019
1001286,1,109.664,3,2014
1001286,1,113.24,3,2013
1001286,1,115.624,3,2015
1001286,1,116.22,3,2011
1001286,1,116.22,3,2012
1001286,1,117.71,3,2010
1001286,1,122.25,2,2016
1001286,1,125.25,2,2018
1001286,1,127.544,3,2019
1001286,1,129.75,2,2017
1001286,1,145.722,3,2016
1001286,1,149.298,3,2018
1001286,1,154.662,3,2017
1001286,1,91993.1,1,2020
1001286,1,135644.0,1,2021
1001286,1,186842.8,1,2022
1001286,1,190314.1,1,2023
1001286,1,195307.2,1,2014
1001286,1,202158.2,1,2013
1001286,1,205927.2,1,2015
1001286,1,206080.3,1,2012
1001286,1,209403.1,1,2011
1001286,1,209576.3,1,2010
1001286,1,227100.3,1,2019
1001286,1,259448.4,1,2016
1001286,1,265784.5,1,2018
1001286,1,275223.2,1,2017
1001286,2,25.5,2,2016
1001286,2,30.396,3,2016
1001286,2,101.5,2,2011
1001286,2,109.5,2,2015
1001286,2,111.25,2,2014
1001286,2,113.0,2,2013
1001286,2,117.75,2,2012
1001286,2,120.988,3,2011
1001286,2,130.524,3,2015
1001286,2,132.61,3,2014
1001286,2,134.696,3,2013
1001286,2,140.358,3,2012
1001286,2,157.25,2,2010
1001286,2,187.442,3,2010
1001286,2,54719.2,1,2016
1001286,2,219284.9,1,2011
1001286,2,234163.8,1,2015
1001286,2,238308.5,1,2014
1001286,2,241953.5,1,2013
1001286,2,252034.6,1,2012
1001286,2,338926.1,1,2010
1001286,46,107.5,2,2012
1001286,46,114.5,2,2011
1001286,46,182.0,2,2019
1001286,46,334.0,2,2022
1001286,46,771.75,2,2023
1001286,46,1206.75,2,2018
1001286,46,1278.0,2,2017
1001286,46,2403.5,2,2013
1001286,46,2970.75,2,2021
1001286,46,3947.5,2,2020
1001286,46,4366.25,2,2014
1001286,46,5606.25,2,2015
1001286,46,7411.5,2,2016
1001286,46,289030.5,1,2020
1001286,46,374671.6,1,2017
1001286,46,382656.6,1,2018
1001286,46,428357.5,1,2016
1001286,46,430107.5,1,2019
1001286,46,493301.9,1,2015
1001286,46,521653.9,1,2013
1001286,46,531819.4,1,2014
1001286,46,545550.6,1,2021
1001286,46,618075.0,1,2012
1001286,46,633780.1,1,2011
1001286,46,665307.9,1,2023
1001286,46,763880.5,1,2022
1001626,46,62.4,1,2011
1001626,46,62.6,1,2012
1001626,46,63.1,1,2013
1001626,46,63.6,1,2014
1001626,46,64.7,1,2017
1001626,46,64.9,1,2016
1001626,46,66.0,1,2018
1001626,46,66.7,1,2015
1001626,46,66.7,1,2019
1001626,46,67.0,1,2020
1001626,46,67.4,1,2021
1001626,46,68.0,1,2022
1001626,46,68.1,1,2023
1001626,46,53809.0,2,2017
1001626,46,53894.5,2,2016
1001626,46,54760.75,2,2018
1001626,46,55311.0,2,2015
1001626,46,55412.75,2,2019
1001626,46,55582.5,2,2020
1001626,46,56055.25,2,2021
1001626,46,56468.5,2,2023
1001626,46,56474.25,2,2022
1001626,46,60207.75,2,2011
1001626,46,62542.5,2,2012
1001626,46,64070.5,2,2013
1001626,46,66329.5,2,2014
1001812,1,0.25,2,2020
1001812,1,0.298,3,2020
1001812,1,17.0,2,2019
1001812,1,19.25,2,2018
1001812,1,20.264,3,2019
1001812,1,20.75,2,2010
1001812,1,21.25,2,2014
1001812,1,21.5,2,2015
1001812,1,22.25,2,2013
1001812,1,22.5,2,2017
1001812,1,22.75,2,2011
1001812,1,22.946,3,2018
1001812,1,24.0,2,2012
1001812,1,24.734,3,2010
1001812,1,25.33,3,2014
1001812,1,25.628,3,2015
1001812,1,26.522,3,2013
1001812,1,26.82,3,2017
1001812,1,27.118,3,2011
1001812,1,28.608,3,2012
1001812,1,34.0,2,2016
1001812,1,40.528,3,2016
1001812,1,301.2,1,2020
1001812,1,36032.1,1,2019
1001812,1,40889.0,1,2018
1001812,1,43949.0,1,2010
1001812,1,45034.1,1,2014
1001812,1,45452.8,1,2015
1001812,1,46949.0,1,2013
1001812,1,47829.9,1,2017
1001812,1,48034.3,1,2011
1001812,1,50911.5,1,2012
1001812,1,72224.3,1,2016
1001812,42,0.0,1,2010
1001812,46,0.0,1,2020
1001812,46,0.298,3,2017
1001812,46,1.788,3,2019
1001812,46,2.086,3,2013
1001812,46,2.086,3,2015
1001812,46,2.384,3,2012
1001812,46,3.576,3,2018
1001812,46,5.364,3,2014
1001812,46,9.834,3,2016
1001812,46,13.112,3,2011
1001812,46,278.0,2,2017
1001812,46,887.5,2,2019
1001812,46,1527.5,2,2018
1001812,46,1578.5,2,2013
1001812,46,1647.25,2,2015
1001812,46,1676.0,2,2012
1001812,46,1951.25,2,2016
1001812,46,2610.0,2,2011
1001812,46,2815.6,1,2013
1001812,46,2903.5,2,2014
1001812,46,2999.5,1,2012
1001812,46,3241.6,1,2019
1001812,46,10630.3,1,2015
1001812,46,10635.0,1,2018
1001812,46,18523.3,1,2014
1001812,46,21814.7,1,2011
1001812,46,29242.7,1,2016
1001812,46,39250.9,1,2017
1001812,54,,1,2011
1001812,54,,1,2012
1001812,54,,1,2013
1001812,54,,1,2014
1001812,54,,1,2015
1001812,54,,1,2016
1001812,54,,1,2017
1001812,54,,1,2018
1001812,54,,1,2019
1001812,54,,1,2020
1001982,1,4.0,2,2020
1001982,1,4.5,2,2021
1001982,1,4.768,3,2020
1001982,1,5.0,2,2019
1001982,1,5.364,3,2021
1001982,1,5.96,3,2019
1001982,1,7.75,2,2018
1001982,1,9.238,3,2018
1001982,1,15.0,2,2023
1001982,1,15.25,2,2022
1001982,1,17.88,3,2023
1001982,1,18.178,3,2022
1001982,1,19.25,2,2015
1001982,1,19.75,2,2017
1001982,1,20.25,2,2011
1001982,1,20.25,2,2014
1001982,1,20.25,2,2016
1001982,1,21.5,2,2013
1001982,1,21.75,2,2010
1001982,1,22.946,3,2015
1001982,1,23.5,2,2012
1001982,1,23.542,3,2017
1001982,1,24.138,3,2014
1001982,1,24.138,3,2016
1001982,1,24.436,3,2011
1001982,1,25.926,3,2010
1001982,1,26.82,3,2013
1001982,1,28.012,3,2012
1001982,1,8505.2,1,2020
1001982,1,9730.0,1,2021
