NAME,B01003_001E,B17001_002E,B03002_003E,B03002_012E,B08201_002E,state,county,tract,block group
Block Group 1; Census Tract 1.07; Bernalillo County; New Mexico,1504,,1057,317,,35,001,000107,1
Block Group 2; Census Tract 1.07; Bernalillo County; New Mexico,1169,,755,271,,35,001,000107,2
Block Group 1; Census Tract 1.08; Bernalillo County; New Mexico,996,,671,206,,35,001,000108,1
Block Group 2; Census Tract 1.08; Bernalillo County; New Mexico,1617,,1059,398,,35,001,000108,2
Block Group 1; Census Tract 1.09; Bernalillo County; New Mexico,1130,,699,369,,35,001,000109,1
Block Group 2; Census Tract 1.09; Bernalillo County; New Mexico,1352,,561,546,,35,001,000109,2
Block Group 1; Census Tract 1.10; Bernalillo County; New Mexico,1764,,811,773,,35,001,000110,1
Block Group 2; Census Tract 1.10; Bernalillo County; New Mexico,1266,,922,199,,35,001,000110,2
Block Group 3; Census Tract 1.10; Bernalillo County; New Mexico,438,,200,201,,35,001,000110,3
Block Group 1; Census Tract 1.11; Bernalillo County; New Mexico,1859,,1376,335,,35,001,000111,1
Block Group 2; Census Tract 1.11; Bernalillo County; New Mexico,1316,,476,704,,35,001,000111,2
Block Group 1; Census Tract 1.12; Bernalillo County; New Mexico,1297,,892,212,,35,001,000112,1
Block Group 2; Census Tract 1.12; Bernalillo County; New Mexico,599,,435,115,,35,001,000112,2
Block Group 1; Census Tract 1.13; Bernalillo County; New Mexico,1762,,883,546,,35,001,000113,1
Block Group 2; Census Tract 1.13; Bernalillo County; New Mexico,1486,,582,397,,35,001,000113,2
Block Group 1; Census Tract 1.14; Bernalillo County; New Mexico,1608,,508,789,,35,001,000114,1
Block Group 2; Census Tract 1.14; Bernalillo County; New Mexico,1191,,642,470,,35,001,000114,2
Block Group 1; Census Tract 1.15; Bernalillo County; New Mexico,1478,,837,382,,35,001,000115,1
Block Group 2; Census Tract 1.15; Bernalillo County; New Mexico,956,,550,339,,35,001,000115,2
Block Group 3; Census Tract 1.15; Bernalillo County; New Mexico,1029,,651,347,,35,001,000115,3
Block Group 1; Census Tract 1.16; Bernalillo County; New Mexico,1470,,917,412,,35,001,000116,1
Block Group 2; Census Tract 1.16; Bernalillo County; New Mexico,1495,,764,543,,35,001,000116,2
Block Group 1; Census Tract 1.17; Bernalillo County; New Mexico,864,,534,248,,35,001,000117,1
Block Group 2; Census Tract 1.17; Bernalillo County; New Mexico,1189,,796,298,,35,001,000117,2
Block Group 1; Census Tract 1.18; Bernalillo County; New Mexico,1585,,785,585,,35,001,000118,1
Block Group 2; Census Tract 1.18; Bernalillo County; New Mexico,1241,,670,350,,35,001,000118,2
Block Group 1; Census Tract 1.19; Bernalillo County; New Mexico,1238,,632,351,,35,001,000119,1
Block Group 2; Census Tract 1.19; Bernalillo County; New Mexico,545,,260,230,,35,001,000119,2
Block Group 1; Census Tract 1.20; Bernalillo County; New Mexico,1131,,605,414,,35,001,000120,1
Block Group 2; Census Tract 1.20; Bernalillo County; New Mexico,1190,,392,223,,35,001,000120,2
Block Group 1; Census Tract 1.21; Bernalillo County; New Mexico,884,,518,294,,35,001,000121,1
Block Group 2; Census Tract 1.21; Bernalillo County; New Mexico,1392,,394,860,,35,001,000121,2
Block Group 3; Census Tract 1.21; Bernalillo County; New Mexico,1160,,938,151,,35,001,000121,3
Block Group 4; Census Tract 1.21; Bernalillo County; New Mexico,1607,,628,965,,35,001,000121,4
Block Group 5; Census Tract 1.21; Bernalillo County; New Mexico,381,,225,114,,35,001,000121,5
Block Group 1; Census Tract 1.22; Bernalillo County; New Mexico,1624,,588,936,,35,001,000122,1
Block Group 2; Census Tract 1.22; Bernalillo County; New Mexico,866,,360,494,,35,001,000122,2
Block Group 3; Census Tract 1.22; Bernalillo County; New Mexico,367,,217,150,,35,001,000122,3
Block Group 4; Census Tract 1.22; Bernalillo County; New Mexico,1828,,576,1158,,35,001,000122,4
Block Group 1; Census Tract 1.23; Bernalillo County; New Mexico,611,,259,261,,35,001,000123,1
Block Group 2; Census Tract 1.23; Bernalillo County; New Mexico,1013,,327,611,,35,001,000123,2
Block Group 3; Census Tract 1.23; Bernalillo County; New Mexico,823,,278,386,,35,001,000123,3
Block Group 4; Census Tract 1.23; Bernalillo County; New Mexico,693,,504,157,,35,001,000123,4
Block Group 5; Census Tract 1.23; Bernalillo County; New Mexico,1553,,1241,296,,35,001,000123,5
Block Group 1; Census Tract 1.24; Bernalillo County; New Mexico,926,,228,573,,35,001,000124,1
Block Group 2; Census Tract 1.24; Bernalillo County; New Mexico,676,,352,288,,35,001,000124,2
Block Group 3; Census Tract 1.24; Bernalillo County; New Mexico,788,,407,308,,35,001,000124,3
Block Group 4; Census Tract 1.24; Bernalillo County; New Mexico,1425,,484,545,,35,001,000124,4
Block Group 1; Census Tract 1.25; Bernalillo County; New Mexico,1587,,981,316,,35,001,000125,1
Block Group 2; Census Tract 1.25; Bernalillo County; New Mexico,1504,,853,457,,35,001,000125,2
Block Group 3; Census Tract 1.25; Bernalillo County; New Mexico,1036,,837,147,,35,001,000125,3
Block Group 1; Census Tract 1.26; Bernalillo County; New Mexico,1490,,762,453,,35,001,000126,1
Block Group 2; Census Tract 1.26; Bernalillo County; New Mexico,898,,504,314,,35,001,000126,2
Block Group 1; Census Tract 1.27; Bernalillo County; New Mexico,996,,235,720,,35,001,000127,1
Block Group 2; Census Tract 1.27; Bernalillo County; New Mexico,914,,464,303,,35,001,000127,2
Block Group 3; Census Tract 1.27; Bernalillo County; New Mexico,754,,478,188,,35,001,000127,3
Block Group 1; Census Tract 1.28; Bernalillo County; New Mexico,1014,,229,508,,35,001,000128,1
Block Group 2; Census Tract 1.28; Bernalillo County; New Mexico,1216,,643,456,,35,001,000128,2
Block Group 3; Census Tract 1.28; Bernalillo County; New Mexico,399,,107,278,,35,001,000128,3
Block Group 4; Census Tract 1.28; Bernalillo County; New Mexico,900,,345,539,,35,001,000128,4
Block Group 1; Census Tract 1.29; Bernalillo County; New Mexico,2037,,595,787,,35,001,000129,1
Block Group 2; Census Tract 1.29; Bernalillo County; New Mexico,2113,,913,867,,35,001,000129,2
Block Group 3; Census Tract 1.29; Bernalillo County; New Mexico,850,,499,331,,35,001,000129,3
Block Group 1; Census Tract 2.03; Bernalillo County; New Mexico,1255,,679,266,,35,001,000203,1
Block Group 2; Census Tract 2.03; Bernalillo County; New Mexico,1006,,381,259,,35,001,000203,2
Block Group 1; Census Tract 2.04; Bernalillo County; New Mexico,1751,,885,700,,35,001,000204,1
Block Group 2; Census Tract 2.04; Bernalillo County; New Mexico,1369,,515,600,,35,001,000204,2
Block Group 1; Census Tract 2.05; Bernalillo County; New Mexico,815,,190,314,,35,001,000205,1
Block Group 2; Census Tract 2.05; Bernalillo County; New Mexico,692,,369,320,,35,001,000205,2
