NAME,B01003_001E,C17002_002E,C17002_003E,B03002_003E,B03002_012E,B25044_003E,B25044_010E,state,county,tract,block group,total_pop,pct_poverty_proxy,pct_minority,pct_hispanic,pct_no_vehicle,GEOID
Block Group 1; Census Tract 1.07; Bernalillo County; New Mexico,1504,40,214,1057,317,31,43,35,001,000107,1,1504,16.888297872340424,29.720744680851062,21.07712765957447,4.920212765957447,350010001071
Block Group 2; Census Tract 1.07; Bernalillo County; New Mexico,1169,98,162,755,271,25,0,35,001,000107,2,1169,22.241231822070144,35.41488451668092,23.182207014542342,2.1385799828913603,350010001072
Block Group 1; Census Tract 1.08; Bernalillo County; New Mexico,996,0,81,671,206,0,0,35,001,000108,1,996,8.132530120481928,32.63052208835341,20.682730923694777,0.0,350010001081
Block Group 2; Census Tract 1.08; Bernalillo County; New Mexico,1617,256,79,1059,398,0,77,35,001,000108,2,1617,20.717377860235004,34.50834879406308,24.6134817563389,4.761904761904762,350010001082
Block Group 1; Census Tract 1.09; Bernalillo County; New Mexico,1130,19,15,699,369,161,2,35,001,000109,1,1130,3.0088495575221237,38.141592920353986,32.65486725663717,14.424778761061946,350010001091
Block Group 2; Census Tract 1.09; Bernalillo County; New Mexico,1352,160,8,561,546,12,34,35,001,000109,2,1352,12.42603550295858,58.50591715976332,40.38461538461539,3.4023668639053253,350010001092
Block Group 1; Census Tract 1.10; Bernalillo County; New Mexico,1764,230,37,811,773,12,87,35,001,000110,1,1764,15.136054421768709,54.02494331065759,43.82086167800453,5.612244897959184,350010001101
Block Group 2; Census Tract 1.10; Bernalillo County; New Mexico,1266,55,138,922,199,0,0,35,001,000110,2,1266,15.24486571879937,27.172195892575036,15.718799368088469,0.0,350010001102
Block Group 3; Census Tract 1.10; Bernalillo County; New Mexico,438,1,24,200,201,22,0,35,001,000110,3,438,5.707762557077626,54.337899543378995,45.89041095890411,5.0228310502283104,350010001103
Block Group 1; Census Tract 1.11; Bernalillo County; New Mexico,1859,76,80,1376,335,10,0,35,001,000111,1,1859,8.391608391608392,25.98171059709521,18.020441097364174,0.5379236148466917,350010001111
Block Group 2; Census Tract 1.11; Bernalillo County; New Mexico,1316,61,20,476,704,5,0,35,001,000111,2,1316,6.155015197568389,63.829787234042556,53.49544072948328,0.3799392097264438,350010001112
Block Group 1; Census Tract 1.12; Bernalillo County; New Mexico,1297,31,28,892,212,4,14,35,001,000112,1,1297,4.548959136468774,31.225905936777178,16.345412490362374,1.3878180416345411,350010001121
Block Group 2; Census Tract 1.12; Bernalillo County; New Mexico,599,0,0,435,115,0,0,35,001,000112,2,599,0.0,27.378964941569283,19.198664440734557,0.0,350010001122
Block Group 1; Census Tract 1.13; Bernalillo County; New Mexico,1762,35,131,883,546,0,12,35,001,000113,1,1762,9.421112372304199,49.88649262202043,30.98751418842225,0.681044267877412,350010001131
Block Group 2; Census Tract 1.13; Bernalillo County; New Mexico,1486,138,77,582,397,9,0,35,001,000113,2,1486,14.468371467025573,60.83445491251682,26.71601615074024,0.6056527590847914,350010001132
Block Group 1; Census Tract 1.14; Bernalillo County; New Mexico,1608,21,141,508,789,57,12,35,001,000114,1,1608,10.074626865671641,68.40796019900498,49.06716417910448,4.291044776119403,350010001141
Block Group 2; Census Tract 1.14; Bernalillo County; New Mexico,1191,163,107,642,470,0,12,35,001,000114,2,1191,22.670025188916874,46.095717884130984,39.46263643996642,1.0075566750629723,350010001142
Block Group 1; Census Tract 1.15; Bernalillo County; New Mexico,1478,66,10,837,382,10,118,35,001,000115,1,1478,5.142083897158322,43.369418132611635,25.84573748308525,8.660351826792963,350010001151
Block Group 2; Census Tract 1.15; Bernalillo County; New Mexico,956,105,17,550,339,0,11,35,001,000115,2,956,12.761506276150628,42.46861924686193,35.46025104602511,1.1506276150627615,350010001152
Block Group 3; Census Tract 1.15; Bernalillo County; New Mexico,1029,153,189,651,347,9,0,35,001,000115,3,1029,33.23615160349854,36.73469387755102,33.7220602526725,0.8746355685131195,350010001153
Block Group 1; Census Tract 1.16; Bernalillo County; New Mexico,1470,36,53,917,412,0,0,35,001,000116,1,1470,6.054421768707483,37.61904761904762,28.027210884353742,0.0,350010001161
Block Group 2; Census Tract 1.16; Bernalillo County; New Mexico,1495,0,8,764,543,0,0,35,001,000116,2,1495,0.5351170568561873,48.896321070234116,36.32107023411371,0.0,350010001162
Block Group 1; Census Tract 1.17; Bernalillo County; New Mexico,864,93,37,534,248,11,5,35,001,000117,1,864,15.046296296296296,38.19444444444444,28.703703703703702,1.8518518518518516,350010001171
Block Group 2; Census Tract 1.17; Bernalillo County; New Mexico,1189,157,36,796,298,0,0,35,001,000117,2,1189,16.232127838519762,33.05298570227082,25.063078216989066,0.0,350010001172
Block Group 1; Census Tract 1.18; Bernalillo County; New Mexico,1585,22,15,785,585,0,32,35,001,000118,1,1585,2.3343848580441637,50.473186119873816,36.90851735015773,2.018927444794953,350010001181
Block Group 2; Census Tract 1.18; Bernalillo County; New Mexico,1241,153,42,670,350,0,0,35,001,000118,2,1241,15.71313456889605,46.01128122481869,28.203062046736505,0.0,350010001182
Block Group 1; Census Tract 1.19; Bernalillo County; New Mexico,1238,62,5,632,351,0,0,35,001,000119,1,1238,5.4119547657512115,48.949919224555735,28.352180936995154,0.0,350010001191
Block Group 2; Census Tract 1.19; Bernalillo County; New Mexico,545,2,4,260,230,0,0,35,001,000119,2,545,1.1009174311926606,52.293577981651374,42.201834862385326,0.0,350010001192
Block Group 1; Census Tract 1.20; Bernalillo County; New Mexico,1131,57,88,605,414,23,0,35,001,000120,1,1131,12.82051282051282,46.50751547303271,36.60477453580902,2.033598585322723,350010001201
Block Group 2; Census Tract 1.20; Bernalillo County; New Mexico,1190,319,76,392,223,0,113,35,001,000120,2,1190,33.193277310924366,67.05882352941177,18.73949579831933,9.495798319327731,350010001202
