strategy,budget_pct,n_selected,pct_emissions_captured,pct_high_mag_captured,pct_persistent_captured,pct_vulnerability_benefit
S1_emissions_only,5,64,24.4,5.4,1.3,1.3
S1_emissions_only,10,129,35.9,7.8,6.7,14.0
S1_emissions_only,20,258,52.4,20.6,20.0,25.6
S1_emissions_only,30,387,64.1,29.6,32.0,32.6
S2_persistence_aware,5,64,24.2,5.8,4.7,12.6
S2_persistence_aware,10,129,35.3,10.1,14.7,14.3
S2_persistence_aware,20,258,51.9,18.3,27.3,26.4
S2_persistence_aware,30,387,63.7,27.2,46.0,44.3
S3_accountability_aware,5,64,23.8,7.4,4.7,1.1
S3_accountability_aware,10,129,35.1,13.6,12.7,14.2
S3_accountability_aware,20,258,51.8,23.3,28.7,25.5
S3_accountability_aware,30,387,63.5,35.8,44.0,41.1
S4_justice_aware,5,64,23.8,5.4,5.3,1.5
S4_justice_aware,10,129,35.4,11.7,10.0,15.3
S4_justice_aware,20,258,51.7,22.6,27.3,26.8
S4_justice_aware,30,387,63.4,31.5,44.7,43.9
