strategy,budget_pct,n_selected,pct_emissions_captured,pct_high_mag_captured,pct_persistent_captured,pct_vulnerability_benefit
S1_emissions_only,5,64,24.4,5.4,1.3,1.3
S1_emissions_only,10,129,35.9,7.8,6.7,14.0
S1_emissions_only,20,258,52.4,20.6,20.0,25.6
S1_emissions_only,30,387,64.1,29.6,32.0,32.6
S2_persistence_aware,5,64,11.7,5.1,20.7,13.0
S2_persistence_aware,10,129,20.2,8.9,36.7,30.8
S2_persistence_aware,20,258,37.6,19.1,57.3,38.1
S2_persistence_aware,30,387,54.7,28.8,63.3,52.7
S3_accountability_aware,5,64,11.8,11.7,16.7,1.5
S3_accountability_aware,10,129,21.5,21.0,31.3,14.5
S3_accountability_aware,20,258,39.5,33.9,51.3,36.4
S3_accountability_aware,30,387,54.6,47.1,60.7,45.1
S4_justice_aware,5,64,10.7,5.1,19.3,30.9
S4_justice_aware,10,129,20.6,12.5,32.7,33.1
S4_justice_aware,20,258,38.4,23.0,48.0,45.9
S4_justice_aware,30,387,54.0,34.2,62.0,57.6
